2023-04-02-11-24: T_epoch: 1 |loss 21.416490 | hm_loss 2.842303 | wh_loss 10.487106 | off_loss 0.261159 | id_loss 7.235919 | time 19.883333 | 
2023-04-02-11-43: T_epoch: 2 |loss 11.111874 | hm_loss 1.113070 | wh_loss 4.288971 | off_loss 0.253705 | id_loss 5.917507 | time 19.183333 | 
2023-04-02-12-03: T_epoch: 3 |loss 8.346834 | hm_loss 0.836843 | wh_loss 3.685955 | off_loss 0.250611 | id_loss 5.206393 | time 19.133333 | 
2023-04-02-12-05: V_epoch: 3 |loss 24.086814 | hm_loss 2.509422 | wh_loss 4.993863 | off_loss 0.250886 | id_loss 16.568594 | time 2.133333 | 
2023-04-02-12-24: T_epoch: 4 |loss 6.525108 | hm_loss 0.710961 | wh_loss 3.359327 | off_loss 0.247106 | id_loss 4.634128 | time 18.933333 | 
2023-04-02-12-43: T_epoch: 5 |loss 5.182499 | hm_loss 0.646520 | wh_loss 3.223448 | off_loss 0.244551 | id_loss 4.075971 | time 19.000000 | 
2023-04-02-13-02: T_epoch: 6 |loss 4.036988 | hm_loss 0.542299 | wh_loss 3.072144 | off_loss 0.244800 | id_loss 3.586871 | time 19.233333 | 
2023-04-02-13-04: V_epoch: 6 |loss 18.300704 | hm_loss 2.069253 | wh_loss 4.856286 | off_loss 0.250852 | id_loss 19.072332 | time 1.766667 | 
2023-04-02-13-23: T_epoch: 7 |loss 3.229350 | hm_loss 0.505187 | wh_loss 2.989369 | off_loss 0.244913 | id_loss 3.111702 | time 18.983333 | 
2023-04-02-13-42: T_epoch: 8 |loss 2.469256 | hm_loss 0.399214 | wh_loss 2.851903 | off_loss 0.242973 | id_loss 2.676281 | time 19.150000 | 
2023-04-02-14-01: T_epoch: 9 |loss 1.958691 | hm_loss 0.357364 | wh_loss 2.737039 | off_loss 0.240904 | id_loss 2.265602 | time 19.000000 | 
2023-04-02-14-03: V_epoch: 9 |loss 17.328624 | hm_loss 4.438355 | wh_loss 4.946058 | off_loss 0.250858 | id_loss 19.751747 | time 1.733333 | 
2023-04-02-14-22: T_epoch: 10 |loss 1.662555 | hm_loss 0.344136 | wh_loss 2.730942 | off_loss 0.239614 | id_loss 1.995550 | time 19.216667 | 
2023-04-02-14-41: T_epoch: 11 |loss 1.327253 | hm_loss 0.292784 | wh_loss 2.570278 | off_loss 0.238481 | id_loss 1.660102 | time 19.016667 | 
2023-04-02-15-00: T_epoch: 12 |loss 1.186865 | hm_loss 0.299656 | wh_loss 2.554442 | off_loss 0.237054 | id_loss 1.459487 | time 19.266667 | 
2023-04-02-15-02: V_epoch: 12 |loss 12.518398 | hm_loss 2.757171 | wh_loss 5.441938 | off_loss 0.253996 | id_loss 20.268038 | time 1.783333 | 
2023-04-02-15-21: T_epoch: 13 |loss 0.984401 | hm_loss 0.250943 | wh_loss 2.498589 | off_loss 0.235510 | id_loss 1.201925 | time 19.233333 | 
2023-04-02-15-41: T_epoch: 14 |loss 0.945178 | hm_loss 0.283210 | wh_loss 2.506216 | off_loss 0.236601 | id_loss 1.079204 | time 19.333333 | 
2023-04-02-16-00: T_epoch: 15 |loss 0.778855 | hm_loss 0.217540 | wh_loss 2.415393 | off_loss 0.234335 | id_loss 0.885969 | time 19.333333 | 
2023-04-02-16-02: V_epoch: 15 |loss 13.002105 | hm_loss 3.013196 | wh_loss 5.720525 | off_loss 0.261192 | id_loss 21.253548 | time 1.766667 | 
