2023-04-01-12-56: T_epoch: 1 |loss 35.314699 | hm_loss 5.730576 | wh_loss 20.258905 | off_loss 0.261008 | id_loss 8.221159 | time 8.316667 | 
2023-04-01-13-03: T_epoch: 2 |loss 18.509844 | hm_loss 2.413397 | wh_loss 8.495281 | off_loss 0.257537 | id_loss 6.923814 | time 7.433333 | 
2023-04-01-13-11: T_epoch: 3 |loss 15.889618 | hm_loss 1.957798 | wh_loss 8.095385 | off_loss 0.251158 | id_loss 6.664855 | time 7.516667 | 
2023-04-01-13-12: V_epoch: 3 |loss 26.355680 | hm_loss 2.213704 | wh_loss 8.378089 | off_loss 0.256246 | id_loss 15.037105 | time 1.216667 | 
2023-04-01-13-19: T_epoch: 4 |loss 14.095716 | hm_loss 1.728822 | wh_loss 7.745603 | off_loss 0.251183 | id_loss 6.439194 | time 7.400000 | 
2023-04-01-13-27: T_epoch: 5 |loss 12.766732 | hm_loss 1.570726 | wh_loss 7.623541 | off_loss 0.250076 | id_loss 6.338803 | time 7.516667 | 
2023-04-01-13-34: T_epoch: 6 |loss 11.466811 | hm_loss 1.434149 | wh_loss 7.571185 | off_loss 0.249958 | id_loss 6.129935 | time 7.466667 | 
2023-04-01-13-35: V_epoch: 6 |loss 23.238477 | hm_loss 2.147300 | wh_loss 7.711875 | off_loss 0.256626 | id_loss 16.419230 | time 0.866667 | 
2023-04-01-13-43: T_epoch: 7 |loss 10.196989 | hm_loss 1.299820 | wh_loss 7.482003 | off_loss 0.249449 | id_loss 5.860597 | time 7.466667 | 
2023-04-01-13-50: T_epoch: 8 |loss 9.301428 | hm_loss 1.201793 | wh_loss 7.457618 | off_loss 0.249514 | id_loss 5.780611 | time 7.416667 | 
2023-04-01-13-58: T_epoch: 9 |loss 8.467893 | hm_loss 1.124671 | wh_loss 7.488867 | off_loss 0.250693 | id_loss 5.627397 | time 7.550000 | 
2023-04-01-13-59: V_epoch: 9 |loss 20.240711 | hm_loss 2.044974 | wh_loss 7.018260 | off_loss 0.255068 | id_loss 17.834579 | time 0.850000 | 
2023-04-01-14-06: T_epoch: 10 |loss 7.553509 | hm_loss 1.017261 | wh_loss 7.248835 | off_loss 0.249809 | id_loss 5.438720 | time 7.466667 | 
2023-04-01-14-14: T_epoch: 11 |loss 6.742028 | hm_loss 0.911154 | wh_loss 6.921661 | off_loss 0.247258 | id_loss 5.296259 | time 7.566667 | 
2023-04-01-14-21: T_epoch: 12 |loss 5.911288 | hm_loss 0.855880 | wh_loss 5.730674 | off_loss 0.247761 | id_loss 5.102487 | time 7.400000 | 
2023-04-01-14-22: V_epoch: 12 |loss 17.991791 | hm_loss 2.273267 | wh_loss 5.662884 | off_loss 0.253703 | id_loss 19.043711 | time 0.850000 | 
2023-04-01-14-29: T_epoch: 13 |loss 5.246962 | hm_loss 0.806179 | wh_loss 4.776810 | off_loss 0.246378 | id_loss 4.967132 | time 7.416667 | 
2023-04-01-14-37: T_epoch: 14 |loss 4.640751 | hm_loss 0.753473 | wh_loss 4.139335 | off_loss 0.245765 | id_loss 4.750693 | time 7.550000 | 
2023-04-01-14-45: T_epoch: 15 |loss 4.158280 | hm_loss 0.694341 | wh_loss 3.902292 | off_loss 0.246061 | id_loss 4.557141 | time 7.500000 | 
2023-04-01-14-45: V_epoch: 15 |loss 16.106447 | hm_loss 2.499541 | wh_loss 5.091719 | off_loss 0.255833 | id_loss 20.135165 | time 0.850000 | 
